FID,ASS,Name,Kurzname,Haltestellenbereich,Koordinate,Betriebsbereich,Linien
haltestellen.fid-62cca9c6_1651d8457bd_6918,17813,Aachener Str./Gürtel,ASG,178,POINT (6.9084185373 50.9365138255),STRAB,7 13
haltestellen.fid-62cca9c6_1651d8457bd_6919,17814,Aachener Str./Gürtel,ASG,178,POINT (6.9086633306 50.9373898931),STRAB,13
haltestellen.fid-62cca9c6_1651d8457bd_691a,17821,Aachener Str./Gürtel,ASG,178,POINT (6.9096609712 50.9370666263),BUS,140
haltestellen.fid-62cca9c6_1651d8457bd_691b,17822,Aachener Str./Gürtel,ASG,178,POINT (6.9096609712 50.9370666263),BUS,140
haltestellen.fid-62cca9c6_1651d8457bd_691c,17911,Maarweg,MAA,179,POINT (6.8998206771 50.9371956109),STRAB,1
haltestellen.fid-62cca9c6_1651d8457bd_691d,17912,Maarweg,MAA,179,POINT (6.8989287131 50.9372412575),STRAB,1
haltestellen.fid-62cca9c6_1651d8457bd_691e,18011,Clarenbachstift,CBS,180,POINT (6.8948011427 50.9372949644),STRAB,1
haltestellen.fid-62cca9c6_1651d8457bd_691f,18012,Clarenbachstift,CBS,180,POINT (6.8939095185 50.9373423776),STRAB,1
haltestellen.fid-62cca9c6_1651d8457bd_6920,18111,Eupener Str.,EUP,181,POINT (6.8899651128 50.9374340241),STRAB,1
haltestellen.fid-62cca9c6_1651d8457bd_6921,18112,Eupener Str.,EUP,181,POINT (6.889024548 50.9374932866),STRAB,1
haltestellen.fid-62cca9c6_1651d8457bd_6922,18211,Oskar-Jäger-Str./Gürtel,OJS,182,POINT (6.9105605258 50.9393562796),STRAB,13
haltestellen.fid-62cca9c6_1651d8457bd_6923,18212,Oskar-Jäger-Str./Gürtel,OJS,182,POINT (6.9109656862 50.9397966733),STRAB,13
haltestellen.fid-62cca9c6_1651d8457bd_6924,18221,Oskar-Jäger-Str./Gürtel,OJS,182,POINT (6.9104359903 50.9401082723),BUS,140
haltestellen.fid-62cca9c6_1651d8457bd_6925,18222,Oskar-Jäger-Str./Gürtel,OJS,182,POINT (6.9100654782 50.9406124885),BUS,140
haltestellen.fid-62cca9c6_1651d8457bd_6926,18321,Stolberger Str./Eupener Str.,STO,183,POINT (6.8889749145 50.9422277388),BUS,140
haltestellen.fid-62cca9c6_1651d8457bd_6927,18322,Stolberger Str./Eupener Str.,STO,183,POINT (6.8887138352 50.9423471322),BUS,140
haltestellen.fid-62cca9c6_1651d8457bd_6928,18421,Stolberger Str./Maarweg,SBM,184,POINT (6.8981690682 50.9418864788),BUS,140
haltestellen.fid-62cca9c6_1651d8457bd_6929,18422,Stolberger Str./Maarweg,SBM,184,POINT (6.897002729 50.942063877),BUS,140
haltestellen.fid-62cca9c6_1651d8457bd_692a,18521,Müngersdorf S-Bahn/Technologiepark,MTP,185,POINT (6.8881960484 50.9484632905),BUS,140
haltestellen.fid-62cca9c6_1651d8457bd_692b,18522,Müngersdorf S-Bahn/Technologiepark,MTP,185,POINT (6.8883727441 50.9482212248),BUS,140
haltestellen.fid-62cca9c6_1651d8457bd_692c,18611,Alter Militärring,MGD,186,POINT (6.8818674887 50.9376912853),STRAB,1
haltestellen.fid-62cca9c6_1651d8457bd_692d,18612,Alter Militärring,MGD,186,POINT (6.8809837885 50.9377486368),STRAB,1
haltestellen.fid-62cca9c6_1651d8457bd_692e,18621,Alter Militärring,MGD,186,POINT (6.8821012747 50.9381346972),BUS,141 143 144
haltestellen.fid-62cca9c6_1651d8457bd_692f,18622,Alter Militärring,MGD,186,POINT (6.8812018612 50.9378580932),BUS,141 143 144
haltestellen.fid-62cca9c6_1651d8457bd_6930,18711,Rheinenergie-Stadion,STD,187,POINT (6.8750056274 50.9375916658),STRAB,1
haltestellen.fid-62cca9c6_1651d8457bd_6931,18712,Rheinenergie-Stadion,STD,187,POINT (6.8744787277 50.9376343272),STRAB,1
haltestellen.fid-62cca9c6_1651d8457bd_6932,18821,Wendelinstr.,WDL,188,POINT (6.8799245778 50.9406063595),BUS,141 143 144
haltestellen.fid-62cca9c6_1651d8457bd_6933,18822,Wendelinstr.,WDL,188,POINT (6.8804091622 50.9399016767),BUS,141 143 144
haltestellen.fid-62cca9c6_1651d8457bd_6934,18921,Herrigergasse,HRR,189,POINT (6.8764529677 50.9416146964),BUS,144
haltestellen.fid-62cca9c6_1651d8457bd_6935,18922,Herrigergasse,HRR,189,POINT (6.8763330221 50.9416946283),BUS,144
haltestellen.fid-62cca9c6_1651d8457bd_6936,19021,Kämpchensweg,KAE,190,POINT (6.8730110529 50.9451999427),BUS,144
haltestellen.fid-62cca9c6_1651d8457bd_6937,19022,Kämpchensweg,KAE,190,POINT (6.8733221803 50.9447338833),BUS,144
haltestellen.fid-62cca9c6_1651d8457bd_6938,19121,Am Lindenweg,EGP,191,POINT (6.862858263 50.9508249121),BUS,144
haltestellen.fid-62cca9c6_1651d8457bd_6939,19122,Am Lindenweg,EGP,191,POINT (6.8626027999 50.9513499737),BUS,144
haltestellen.fid-62cca9c6_1651d8457bd_693a,19221,Flachsweg,FLA,192,POINT (6.8612180546 50.9461230096),BUS,144
haltestellen.fid-62cca9c6_1651d8457bd_693b,19222,Flachsweg,FLA,192,POINT (6.8596166132 50.9459638767),BUS,144
haltestellen.fid-62cca9c6_1651d8457bd_693c,19321,Leinsamenweg,LSW,193,POINT (6.8535554832 50.9453055809),BUS,144
haltestellen.fid-62cca9c6_1651d8457bd_693d,19322,Leinsamenweg,LSW,193,POINT (6.8532880448 50.9454277467),BUS,144
haltestellen.fid-62cca9c6_1651d8457bd_693e,19421,Roggenweg,RGG,194,POINT (6.8489971953 50.9477332208),BUS,144
haltestellen.fid-62cca9c6_1651d8457bd_693f,19422,Roggenweg,RGG,194,POINT (6.8512971905 50.9476166554),BUS,144
haltestellen.fid-62cca9c6_1651d8457bd_6940,19521,Vitalisstr. Süd,VTS,195,POINT (6.8823941411 50.9431232343),BUS,141 143
haltestellen.fid-62cca9c6_1651d8457bd_6941,19522,Vitalisstr. Süd,VTS,195,POINT (6.8822255948 50.9431888897),BUS,141 143
haltestellen.fid-62cca9c6_1651d8457bd_6942,19621,Widdersdorfer Str.,WDS,196,POINT (6.8853891772 50.9465680249),BUS,143
haltestellen.fid-62cca9c6_1651d8457bd_6943,19622,Widdersdorfer Str.,WDS,196,POINT (6.8853496818 50.9465316939),BUS,143
haltestellen.fid-62cca9c6_1651d8457bd_6944,19721,Technologiepark Köln,TPK,197,POINT (6.8912771736 50.9467174314),BUS,141 143
haltestellen.fid-62cca9c6_1651d8457bd_6945,19723,Technologiepark Köln,TPK,197,POINT (6.890344137 50.9468421368),BUS,141 143
haltestellen.fid-62cca9c6_1651d8457bd_6946,19821,Schwindstr.,SWI,198,POINT (6.8614802236 50.9408796174),BUS,141
haltestellen.fid-62cca9c6_1651d8457bd_6947,19822,Schwindstr.,SWI,198,POINT (6.8617567864 50.9408677751),BUS,141
haltestellen.fid-62cca9c6_1651d8457bd_6948,19921,Böcklinstr.,BLS,199,POINT (6.8581855476 50.9415196569),BUS,141
haltestellen.fid-62cca9c6_1651d8457bd_6949,19922,Böcklinstr.,BLS,199,POINT (6.8592793102 50.9413602921),BUS,141
haltestellen.fid-62cca9c6_1651d8457bd_694a,20011,Junkersdorf,JUK,200,POINT (6.8692130063 50.9376549772),STRAB,1
haltestellen.fid-62cca9c6_1651d8457bd_694b,20012,Junkersdorf,JUK,200,POINT (6.8684872838 50.9376906544),STRAB,1
haltestellen.fid-62cca9c6_1651d8457bd_694c,20021,Junkersdorf,JUK,200,POINT (6.8676118287 50.9374274237),BUS,141 143 144
haltestellen.fid-62cca9c6_1651d8457bd_694d,20022,Junkersdorf,JUK,200,POINT (6.8680382769 50.9379471443),BUS,141 143
haltestellen.fid-62cca9c6_1651d8457bd_694e,20024,Junkersdorf,JUK,200,POINT (6.8676118287 50.9374274237),BUS,144
haltestellen.fid-62cca9c6_1651d8457bd_694f,20321,Birkenallee,BIR,203,POINT (6.8607796357 50.9340530152),BUS,143
haltestellen.fid-62cca9c6_1651d8457bd_6950,20322,Birkenallee,BIR,203,POINT (6.8603832498 50.9338327749),BUS,143
haltestellen.fid-62cca9c6_1651d8457bd_6951,20421,Kölner Weg,KNW,204,POINT (6.8574809889 50.9317274936),BUS,143
haltestellen.fid-62cca9c6_1651d8457bd_6952,20422,Kölner Weg,KNW,204,POINT (6.8575796882 50.9312924717),BUS,143
haltestellen.fid-62cca9c6_1651d8457bd_6953,20521,Sterrenhofweg,SHW,205,POINT (6.8544491368 50.9280402467),BUS,143
haltestellen.fid-62cca9c6_1651d8457bd_6954,20522,Sterrenhofweg,SHW,205,POINT (6.8548276612 50.9281366934),BUS,143
haltestellen.fid-62cca9c6_1651d8457bd_6955,20621,Beethovenstr.,BET,206,POINT (6.8525182611 50.9296432474),BUS,143
haltestellen.fid-62cca9c6_1651d8457bd_6956,20622,Beethovenstr.,BET,206,POINT (6.8526202448 50.9295116541),BUS,143
haltestellen.fid-62cca9c6_1651d8457bd_6957,20721,Südallee,SAL,207,POINT (6.8640324016 50.9305010872),BUS,143
haltestellen.fid-62cca9c6_1651d8457bd_6958,20722,Südallee,SAL,207,POINT (6.8641813657 50.9304585738),BUS,143
haltestellen.fid-62cca9c6_1651d8457bd_6959,20921,Wiener Weg,WNW,209,POINT (6.8653365943 50.927123277),BUS,143
haltestellen.fid-62cca9c6_1651d8457bd_695a,20922,Wiener Weg,WNW,209,POINT (6.8651124087 50.9268135643),BUS,143
haltestellen.fid-62cca9c6_1651d8457bd_695b,21121,Egelspfad,EGE,211,POINT (6.8542968619 50.9420857297),BUS,141
haltestellen.fid-62cca9c6_1651d8457bd_695c,21122,Egelspfad,EGE,211,POINT (6.8533430129 50.9422293634),BUS,141
haltestellen.fid-62cca9c6_1651d8457bd_695d,21221,Bf Lövenich,LOV,212,POINT (6.8325599733 50.9436999606),BUS,141 143 144 145 149
haltestellen.fid-62cca9c6_1651d8457bd_695e,21222,Bf Lövenich,LOV,212,POINT (6.8339357329 50.9431765984),BUS,141 143 144 145 149
haltestellen.fid-62cca9c6_1651d8457bd_695f,21321,Seithümerstr.,SEI,213,POINT (6.8322776841 50.9462638286),BUS,144
haltestellen.fid-62cca9c6_1651d8457bd_6960,21322,Seithümerstr.,SEI,213,POINT (6.8324638946 50.9463527283),BUS,144
haltestellen.fid-62cca9c6_1651d8457bd_6961,21421,Dieselstr.,DIS,214,POINT (6.8418387948 50.94708881),BUS,144
haltestellen.fid-62cca9c6_1651d8457bd_6962,21422,Dieselstr.,DIS,214,POINT (6.8416517105 50.9471689044),BUS,144
haltestellen.fid-62cca9c6_1651d8457bd_6963,21521,Zaunstr.,ZST,215,POINT (6.8298971217 50.9470527945),BUS,145 149
haltestellen.fid-62cca9c6_1651d8457bd_6964,21522,Zaunstr.,ZST,215,POINT (6.8300763314 50.9471330237),BUS,145 149
haltestellen.fid-62cca9c6_1651d8457bd_6965,21621,An der Ronne,ADR,216,POINT (6.8286721958 50.950186069),BUS,145 149
haltestellen.fid-62cca9c6_1651d8457bd_6966,21622,An der Ronne,ADR,216,POINT (6.8288666613 50.9513138338),BUS,145 149
haltestellen.fid-62cca9c6_1651d8457bd_6967,21721,Spitzangerweg,SPI,217,POINT (6.8269082309 50.9474638878),BUS,143
haltestellen.fid-62cca9c6_1651d8457bd_6968,21821,Saarstr.,LSA,218,POINT (6.821374911 50.9439693254),BUS,143
haltestellen.fid-62cca9c6_1651d8457bd_6969,21822,Saarstr.,LSA,218,POINT (6.821374911 50.9439693254),BUS,143
haltestellen.fid-62cca9c6_1651d8457bd_696a,21921,Severinusstr.,SVU,219,POINT (6.8250360343 50.9428193697),BUS,143
haltestellen.fid-62cca9c6_1651d8457bd_696b,22021,Braugasse,BAU,220,POINT (6.8299474449 50.9443280358),BUS,141 143
haltestellen.fid-62cca9c6_1651d8457bd_696c,22022,Braugasse,BAU,220,POINT (6.8296627862 50.9441707467),BUS,141
haltestellen.fid-62cca9c6_1651d8457bd_696d,22121,Selma-Lagerlöf-Str.,SLL,221,POINT (6.8285210259 50.9416907571),BUS,141
haltestellen.fid-62cca9c6_1651d8457bd_696e,22122,Selma-Lagerlöf-Str.,SLL,221,POINT (6.8286407649 50.9418430929),BUS,141
haltestellen.fid-62cca9c6_1651d8457bd_696f,22221,Frechener Weg,FWG,222,POINT (6.826625298 50.9388643937),BUS,141
haltestellen.fid-62cca9c6_1651d8457bd_6970,22222,Frechener Weg,FWG,222,POINT (6.8267805324 50.9393724724),BUS,141
haltestellen.fid-62cca9c6_1651d8457bd_6971,22321,Üsdorf,UES,223,POINT (6.826748421 50.9352138935),BUS,145
haltestellen.fid-62cca9c6_1651d8457bd_6972,22322,Üsdorf,UES,223,POINT (6.8268332544 50.9349055422),BUS,145
haltestellen.fid-62cca9c6_1651d8457bd_6973,22421,Weiden Sportplatz,WSP,224,POINT (6.8409505676 50.9422466203),BUS,141
haltestellen.fid-62cca9c6_1651d8457bd_6974,22422,Weiden Sportplatz,WSP,224,POINT (6.841181585 50.9422318258),BUS,141
haltestellen.fid-62cca9c6_1651d8457bd_6975,22521,Stormstr.,STM,225,POINT (6.8452632748 50.9419780626),BUS,141
haltestellen.fid-62cca9c6_1651d8457bd_6976,22522,Stormstr.,STM,225,POINT (6.8451990789 50.9420641185),BUS,141
haltestellen.fid-62cca9c6_1651d8457bd_6977,22721,Ostlandstr.,OST,227,POINT (6.8345843831 50.9356517345),BUS,143
haltestellen.fid-62cca9c6_1651d8457bd_6978,22722,Ostlandstr.,OST,227,POINT (6.8332555917 50.9362138398),BUS,143 145
haltestellen.fid-62cca9c6_1651d8457bd_6979,22723,Ostlandstr.,OST,227,POINT (6.8322471841 50.9357138524),BUS,145
haltestellen.fid-62cca9c6_1651d8457bd_697a,22811,Rosenhügel,RSH,228,POINT (7.0599512293 50.8739525469),STRAB,7
haltestellen.fid-62cca9c6_1651d8457bd_697b,22812,Rosenhügel,RSH,228,POINT (7.0601478782 50.8743891347),STRAB,7
haltestellen.fid-62cca9c6_1651d8457bd_697c,22921,Diepenbeekallee,DPB,229,POINT (6.8458262904 50.9352157778),BUS,143
haltestellen.fid-62cca9c6_1651d8457bd_697d,22922,Diepenbeekallee,DPB,229,POINT (6.845817446 50.9353763356),BUS,143
haltestellen.fid-62cca9c6_1651d8457bd_697e,23021,Im Buschfelde,IBU,230,POINT (6.8388652809 50.9676413938),BUS,145 149
haltestellen.fid-62cca9c6_1651d8457bd_697f,23022,Im Buschfelde,IBU,230,POINT (6.8372723306 50.9671870271),BUS,145
haltestellen.fid-62cca9c6_1651d8457bd_6980,23121,Widdersdorf,WID,231,POINT (6.8348263433 50.9665713914),BUS,145 149
haltestellen.fid-62cca9c6_1651d8457bd_6981,23122,Widdersdorf,WID,231,POINT (6.833951359 50.966036395),BUS,145
haltestellen.fid-62cca9c6_1651d8457bd_6982,23221,Adrian-Meller-Str.,AMS,232,POINT (6.8302860479 50.963806388),BUS,145 149
haltestellen.fid-62cca9c6_1651d8457bd_6983,23222,Adrian-Meller-Str.,AMS,232,POINT (6.8303095752 50.9637293879),BUS,145
haltestellen.fid-62cca9c6_1651d8457bd_6984,23321,Blaugasse,BLA,233,POINT (6.8303556704 50.9613587366),BUS,145 149
haltestellen.fid-62cca9c6_1651d8457bd_6985,23322,Blaugasse,BLA,233,POINT (6.8305054891 50.9614443544),BUS,145
haltestellen.fid-62cca9c6_1651d8457bd_6986,23411,Stüttgenhof,SGH,234,POINT (6.8775272415 50.9200768232),STRAB,7
haltestellen.fid-62cca9c6_1651d8457bd_6987,23412,Stüttgenhof,SGH,234,POINT (6.8768288604 50.9200588148),STRAB,7
haltestellen.fid-62cca9c6_1651d8457bd_6988,23511,Marsdorf,MAD,235,POINT (6.8591296094 50.9176401051),STRAB,7
haltestellen.fid-62cca9c6_1651d8457bd_6989,23512,Marsdorf,MAD,235,POINT (6.8572223583 50.9173331289),STRAB,7
haltestellen.fid-62cca9c6_1651d8457bd_698a,23611,Piusstr.,PIU,236,POINT (6.9262808103 50.9457972596),STRAB,3 4
haltestellen.fid-62cca9c6_1651d8457bd_698b,23612,Piusstr.,PIU,236,POINT (6.9257262497 50.9461181092),STRAB,3 4
haltestellen.fid-62cca9c6_1651d8457bd_698c,23711,Körnerstr.,KOR,237,POINT (6.9208488069 50.9480603452),STRAB,3 4
haltestellen.fid-62cca9c6_1651d8457bd_698d,23712,Körnerstr.,KOR,237,POINT (6.9202544864 50.9484060933),STRAB,3 4
haltestellen.fid-62cca9c6_1651d8457bd_698e,23811,Gutenbergstr.,GUT,238,POINT (6.9286616753 50.9502269672),STRAB,5
haltestellen.fid-62cca9c6_1651d8457bd_698f,23812,Gutenbergstr.,GUT,238,POINT (6.9279810963 50.9505280537),STRAB,5
haltestellen.fid-62cca9c6_1651d8457bd_6990,23911,Liebigstr.,LIE,239,POINT (6.925203178 50.9517416253),STRAB,5
haltestellen.fid-62cca9c6_1651d8457bd_6991,23912,Liebigstr.,LIE,239,POINT (6.9246477606 50.9520607459),STRAB,5
haltestellen.fid-62cca9c6_1651d8457bd_6992,23921,Liebigstr.,LIE,239,POINT (6.925107374 50.9526457768),BUS,142
haltestellen.fid-62cca9c6_1651d8457bd_6993,23922,Liebigstr.,LIE,239,POINT (6.9244888381 50.9523999544),BUS,142
haltestellen.fid-62cca9c6_1651d8457bd_6994,24111,Weiden Schulstr.,WNS,241,POINT (6.8290759482 50.9383261109),STRAB,1
haltestellen.fid-62cca9c6_1651d8457bd_6995,24112,Weiden Schulstr.,WNS,241,POINT (6.8282667136 50.9384209637),STRAB,1
haltestellen.fid-62cca9c6_1651d8457bd_6996,24211,Schaffrathsgasse,SRG,242,POINT (6.8701294472 50.971441805),STRAB,3
haltestellen.fid-62cca9c6_1651d8457bd_6997,24212,Schaffrathsgasse,SRG,242,POINT (6.8703363606 50.9718353716),STRAB,3
haltestellen.fid-62cca9c6_1651d8457bd_6998,24321,Walter-Pauli-Ring,WPR,243,POINT (6.9949488176 50.9370860096),BUS,159 193
haltestellen.fid-62cca9c6_1651d8457bd_6999,24322,Walter-Pauli-Ring,WPR,243,POINT (6.9951230363 50.937201873),BUS,159 193
haltestellen.fid-62cca9c6_1651d8457bd_699a,24421,Willi-Lauf-Allee,WLA,244,POINT (6.8616810229 50.9260016506),BUS,143
haltestellen.fid-62cca9c6_1651d8457bd_699b,24422,Willi-Lauf-Allee,WLA,244,POINT (6.8616301923 50.9259774252),BUS,143
haltestellen.fid-62cca9c6_1651d8457bd_699c,24511,Subbelrather Str./Gürtel,SSG,245,POINT (6.9212755966 50.9546881859),STRAB,5 13
haltestellen.fid-62cca9c6_1651d8457bd_699d,24512,Subbelrather Str./Gürtel,SSG,245,POINT (6.921741004 50.9550855428),STRAB,5 13
haltestellen.fid-62cca9c6_1651d8457bd_699e,24521,Subbelrather Str./Gürtel,SSG,245,POINT (6.9195597617 50.9541144876),BUS,141 143
haltestellen.fid-62cca9c6_1651d8457bd_699f,24522,Subbelrather Str./Gürtel,SSG,245,POINT (6.9198116542 50.9539135579),BUS,141 143
haltestellen.fid-62cca9c6_1651d8457bd_69a0,24611,Nußbaumerstr.,NBS,246,POINT (6.9233647096 50.9567783751),STRAB,5 13
haltestellen.fid-62cca9c6_1651d8457bd_69a1,24612,Nußbaumerstr.,NBS,246,POINT (6.9238644275 50.9572214823),STRAB,5 13
haltestellen.fid-62cca9c6_1651d8457bd_69a2,24711,Lenauplatz,LEN,247,POINT (6.9183062025 50.9586436293),STRAB,5
haltestellen.fid-62cca9c6_1651d8457bd_69a3,24712,Lenauplatz,LEN,247,POINT (6.9181827515 50.9591370756),STRAB,5
haltestellen.fid-62cca9c6_1651d8457bd_69a4,24911,Iltisstr.,ILT,249,POINT (6.9126395352 50.96468836),STRAB,5
haltestellen.fid-62cca9c6_1651d8457bd_69a5,24912,Iltisstr.,ILT,249,POINT (6.9124267622 50.965002666),STRAB,5
haltestellen.fid-62cca9c6_1651d8457bd_69a6,24921,Iltisstr.,ILT,249,POINT (6.9124791625 50.9656350565),BUS,140
haltestellen.fid-62cca9c6_1651d8457bd_69a7,24922,Iltisstr.,ILT,249,POINT (6.9113910591 50.9644913739),BUS,140
haltestellen.fid-62cca9c6_1651d8457bd_69a8,25021,Butzweilerstr.,BZW,250,POINT (6.9163963102 50.9688078786),BUS,140
haltestellen.fid-62cca9c6_1651d8457bd_69a9,25022,Butzweilerstr.,BZW,250,POINT (6.9165191738 50.9687582669),BUS,140
haltestellen.fid-62cca9c6_1651d8457bd_69aa,25111,Venloer Str./Gürtel,VSG,251,POINT (6.9165360069 50.949978101),STRAB,13
haltestellen.fid-62cca9c6_1651d8457bd_69ab,25112,Venloer Str./Gürtel,VSG,251,POINT (6.9161598501 50.9496342098),STRAB,13
haltestellen.fid-62cca9c6_1651d8457bd_69ac,25113,Venloer Str./Gürtel,VSG,251,POINT (6.9163860557 50.9503638671),STRAB,3 4
haltestellen.fid-62cca9c6_1651d8457bd_69ad,25114,Venloer Str./Gürtel,VSG,251,POINT (6.9155539484 50.951023458),STRAB,3 4
haltestellen.fid-62cca9c6_1651d8457bd_69ae,25121,Venloer Str./Gürtel,VSG,251,POINT (6.916058615 50.9493033196),BUS,141 142 143
haltestellen.fid-62cca9c6_1651d8457bd_69af,25122,Venloer Str./Gürtel,VSG,251,POINT (6.9155715628 50.9491724886),BUS,141 142 143
haltestellen.fid-62cca9c6_1651d8457bd_69b0,25221,Eichenstr.,EIS,252,POINT (6.8684046416 50.9263482213),BUS,143
haltestellen.fid-62cca9c6_1651d8457bd_69b1,25222,Eichenstr.,EIS,252,POINT (6.8686513496 50.9270902253),BUS,143
haltestellen.fid-62cca9c6_1651d8457bd_69b2,25321,Geisselstr.,GES,253,POINT (6.9167230688 50.9435249675),BUS,142
haltestellen.fid-62cca9c6_1651d8457bd_69b3,25322,Geisselstr.,GES,253,POINT (6.9166218064 50.9433954482),BUS,142
haltestellen.fid-62cca9c6_1651d8457bd_69b4,25411,Weinsbergstr./Gürtel,MLG,254,POINT (6.9127818808 50.9447959948),STRAB,13
haltestellen.fid-62cca9c6_1651d8457bd_69b5,25412,Weinsbergstr./Gürtel,MLG,254,POINT (6.9127595347 50.9452217221),STRAB,13
haltestellen.fid-62cca9c6_1651d8457bd_69b6,25421,Weinsbergstr./Gürtel,MLG,254,POINT (6.9129542776 50.9452791666),BUS,141 142 143
haltestellen.fid-62cca9c6_1651d8457bd_69b7,25422,Weinsbergstr./Gürtel,MLG,254,POINT (6.9120180519 50.9450799409),BUS,141 143
haltestellen.fid-62cca9c6_1651d8457bd_69b8,25423,Weinsbergstr./Gürtel,MLG,254,POINT (6.9134307655 50.9447610966),BUS,142
haltestellen.fid-62cca9c6_1651d8457bd_69b9,25511,Leyendeckerstr.,LEY,255,POINT (6.9097433933 50.9544653749),STRAB,3 4
haltestellen.fid-62cca9c6_1651d8457bd_69ba,25512,Leyendeckerstr.,LEY,255,POINT (6.9086655775 50.9549168083),STRAB,3 4
haltestellen.fid-62cca9c6_1651d8457bd_69bb,25621,Borsigstr.,BGS,256,POINT (6.9052066652 50.9588716993),BUS,139 140 141 143
haltestellen.fid-62cca9c6_1651d8457bd_69bc,25622,Borsigstr.,BGS,256,POINT (6.9050637999 50.9585590296),BUS,139 140 141 143
haltestellen.fid-62cca9c6_1651d8457bd_69bd,25721,Bf Deutz/Messeplatz,BDP,257,POINT (6.973079612 50.9421138499),BUS,150 260
haltestellen.fid-62cca9c6_1651d8457bd_69be,25722,Bf Deutz/Messeplatz,BDP,257,POINT (6.9732034865 50.9421459498),BUS,150 260
haltestellen.fid-62cca9c6_1651d8457bd_69bf,25821,Oskar-Jäger-Str.,OSJ,258,POINT (6.906788181 50.9453368622),BUS,141 143
haltestellen.fid-62cca9c6_1651d8457bd_69c0,25822,Oskar-Jäger-Str.,OSJ,258,POINT (6.9072124525 50.945469393),BUS,141 143
haltestellen.fid-62cca9c6_1651d8457bd_69c1,25921,Karnevalsmuseum,WIM,259,POINT (6.8972766953 50.9460116175),BUS,141 143
haltestellen.fid-62cca9c6_1651d8457bd_69c2,25922,Karnevalsmuseum,WIM,259,POINT (6.8989267956 50.9460257681),BUS,141 143
haltestellen.fid-62cca9c6_1651d8457bd_69c3,26021,Vogelsanger Str./Maarweg,VST,260,POINT (6.8993178467 50.9530325162),BUS,140
haltestellen.fid-62cca9c6_1651d8457bd_69c4,26022,Vogelsanger Str./Maarweg,VST,260,POINT (6.8996320617 50.9530111882),BUS,140
haltestellen.fid-62cca9c6_1651d8457bd_69c5,26111,Weiden Zentrum,WRB,261,POINT (6.8356191911 50.9381674573),STRAB,1
haltestellen.fid-62cca9c6_1651d8457bd_69c6,26112,Weiden Zentrum,WRB,261,POINT (6.8348473733 50.9383335618),STRAB,1
haltestellen.fid-62cca9c6_1651d8457bd_69c7,26121,Weiden Zentrum,WRB,261,POINT (6.8350187925 50.9382500399),BUS,149
haltestellen.fid-62cca9c6_1651d8457bd_69c8,26122,Weiden Zentrum,WRB,261,POINT (6.8350187925 50.9382500399),BUS,141 143 145 149
haltestellen.fid-62cca9c6_1651d8457bd_69c9,26211,Äußere Kanalstr.,BIK,262,POINT (6.9033702265 50.95658111),STRAB,3 4
haltestellen.fid-62cca9c6_1651d8457bd_69ca,26212,Äußere Kanalstr.,BIK,262,POINT (6.9022411018 50.9570468526),STRAB,3 4
haltestellen.fid-62cca9c6_1651d8457bd_69cb,26221,Äußere Kanalstr.,BIK,262,POINT (6.9024693262 50.9561277388),BUS,140
haltestellen.fid-62cca9c6_1651d8457bd_69cc,26223,Äußere Kanalstr.,BIK,262,POINT (6.9013887762 50.9571777742),BUS,139 141 143
haltestellen.fid-62cca9c6_1651d8457bd_69cd,26224,Äußere Kanalstr.,BIK,262,POINT (6.9010916657 50.9573971885),BUS,139 141 143
haltestellen.fid-62cca9c6_1651d8457bd_69ce,26225,Äußere Kanalstr.,BIK,262,POINT (6.9026182733 50.9560202406),BUS,140
haltestellen.fid-62cca9c6_1651d8457bd_69cf,26321,Alter Deutzer Postweg,ADP,263,POINT (7.0499341836 50.919204941),BUS,151 152 191
haltestellen.fid-62cca9c6_1651d8457bd_69d0,26322,Alter Deutzer Postweg,ADP,263,POINT (7.0498863611 50.9189807388),BUS,151 152 191
haltestellen.fid-62cca9c6_1651d8457bd_69d1,26411,Akazienweg,AKA,264,POINT (6.8945909142 50.9603106035),STRAB,3 4
haltestellen.fid-62cca9c6_1651d8457bd_69d2,26412,Akazienweg,AKA,264,POINT (6.8939467101 50.9607595579),STRAB,3 4
haltestellen.fid-62cca9c6_1651d8457bd_69d3,26521,Vogelsanger Str.,VOS,265,POINT (6.8919841814 50.9564077374),BUS,141 143
haltestellen.fid-62cca9c6_1651d8457bd_69d4,26522,Vogelsanger Str.,VOS,265,POINT (6.8921202385 50.9562804131),BUS,141 143
haltestellen.fid-62cca9c6_1651d8457bd_69d5,26621,Häuschensweg,HCH,266,POINT (6.9012780168 50.9611743391),BUS,139
haltestellen.fid-62cca9c6_1651d8457bd_69d6,26622,Häuschensweg,HCH,266,POINT (6.9017674041 50.9608791447),BUS,139
haltestellen.fid-62cca9c6_1651d8457bd_69d7,26721,Feltenstr.,FEL,267,POINT (6.9002831987 50.963039125),BUS,139
haltestellen.fid-62cca9c6_1651d8457bd_69d8,26722,Feltenstr.,FEL,267,POINT (6.9002874949 50.962782789),BUS,139
haltestellen.fid-62cca9c6_1651d8457bd_69d9,26821,Emilstr.,EMI,268,POINT (6.8979082555 50.9664138547),BUS,139
haltestellen.fid-62cca9c6_1651d8457bd_69da,26822,Emilstr.,EMI,268,POINT (6.8978388817 50.9663888621),BUS,139
